"('NNP', 'NNP')",6520
"('NNP', ':')",1254
"(':', '``')",78
"('``', 'VBP')",23
"('VBP', 'RB')",2716
"('RB', 'VB')",4592
"('VB', 'NNS')",413
"('NNS', 'WDT')",71
"('WDT', 'VBP')",76
"('VBP', 'VBN')",553
"('VBN', 'NNS')",129
"('NNS', 'TO')",343
"('TO', 'VB')",4514
"('VB', 'JJ')",1070
"('JJ', 'NNS')",2189
"('NNS', ""''"")",97
"(""''"", 'MD')",29
"('MD', 'VB')",2428
"('VB', 'VBD')",15
"('WRB', 'IN')",35
"('IN', 'JJ')",2069
"('JJ', 'NN')",9930
"('NN', 'NN')",7192
"('VBG', 'NNP')",402
"('NNP', 'MD')",270
"('VB', 'DT')",2312
"('DT', 'JJ')",3790
"('NN', 'WRB')",569
"('WRB', 'RB')",72
"('RB', 'NN')",357
"('NN', 'VBZ')",3272
"('VBZ', 'VBN')",740
"('VBN', 'JJ')",129
"('VB', 'NN')",1255
"('RB', 'VBN')",873
"('VBN', '``')",16
"('``', 'JJ')",282
"('NN', ""''"")",625
"('VB', 'VBN')",541
"('VBN', 'DT')",148
"('NN', 'CC')",1701
"('CC', 'VBN')",39
"('DT', 'NN')",10932
"('NN', 'NNP')",1048
"('NNP', 'NN')",5889
"('NN', '.')",9646
"('JJ', 'NNP')",1251
"('#', 'NNS')",4
"('NNS', 'IN')",2229
"('IN', 'NNP')",2758
"('NN', 'POS')",392
"('POS', 'NN')",485
"('VBZ', 'JJ')",1145
"('NNS', 'WRB')",219
"('WRB', 'JJ')",163
"('NNS', 'VBZ')",162
"('VBZ', 'RB')",2618
"('RB', 'NNS')",116
"('NNS', 'CC')",510
"('CC', 'NN')",951
"('NN', 'IN')",7647
"('JJ', 'VBG')",135
"('VBG', 'JJ')",460
"('NNP', 'TO')",231
"('TO', 'NNS')",46
"('CC', 'RB')",715
"('VB', 'PRP')",1942
"('PRP', 'RB')",1317
"('``', 'NN')",242
"(""''"", 'NN')",531
"('VB', 'VB')",160
"('NN', 'NNS')",1891
"('NNS', 'VBP')",1450
"('VBG', 'IN')",1143
"('IN', 'NN')",4985
"('NNS', 'NNS')",132
"('NNP', 'VBZ')",1393
"('NNP', 'VBP')",210
"('VBP', 'DT')",1104
"('NNP', 'RB')",627
"('RB', 'VBD')",668
"('VBD', 'VB')",38
"('VB', 'IN')",1739
"('VBZ', 'VBG')",454
"('VBG', '(')",19
"('(', 'CC')",54
"('NN', ')')",411
"('NN', 'RB')",1189
"('RB', 'JJ')",2465
"('JJ', 'WRB')",78
"('WRB', 'DT')",198
"('VBP', 'IN')",964
"('IN', 'DT')",6556
"('VBG', 'TO')",787
"('VB', '``')",87
"('``', 'RB')",60
"(""''"", 'IN')",234
"('VBZ', 'DT')",1664
